libharfbuzz-subset0:amd64	10.2.0-1+b1	amd64
libharfbuzz0b:amd64	10.2.0-1+b1	amd64
libheif-plugin-dav1d:amd64	1.19.8-1	amd64
libheif-plugin-libde265:amd64	1.19.8-1	amd64
libheif1:amd64	1.19.8-1	amd64
libhogweed6t64:amd64	3.10.1-1	amd64
libhwasan0:amd64	14.2.0-19	amd64
libhwy1t64:amd64	1.2.0-2+b2	amd64
libice-dev:amd64	2:1.1.1-1	amd64
libice6:amd64	2:1.1.1-1	amd64
libicu-dev:amd64	76.1-4	amd64
libicu76:amd64	76.1-4	amd64
libidn2-0:amd64	2.3.8-2	amd64
libidn2-dev:amd64	2.3.8-2	amd64
libiec61883-0:amd64	1.2.0-7	amd64
libimath-3-1-29t64:amd64	3.1.12-1+b3	amd64
libimath-dev:amd64	3.1.12-1+b3	amd64
libisl23:amd64	0.27-1	amd64
libitm1:amd64	14.2.0-19	amd64
libjack-jackd2-0:amd64	1.9.22~dfsg-4	amd64
libjansson4:amd64	2.14-2+b3	amd64
libjbig-dev:amd64	2.1-6.1+b2	amd64
libjbig0:amd64	2.1-6.1+b2	amd64
libjpeg-dev:amd64	1:2.1.5-4	amd64
libjpeg62-turbo:amd64	1:2.1.5-4	amd64
libjpeg62-turbo-dev:amd64	1:2.1.5-4	amd64
libjq1:amd64	1.7.1-6+deb13u1	amd64
libjxl0.11:amd64	0.11.1-4	amd64
libk5crypto3:amd64	1.21.3-5	amd64
libkadm5clnt-mit12:amd64	1.21.3-5	amd64
libkadm5srv-mit12:amd64	1.21.3-5	amd64
libkdb5-10t64:amd64	1.21.3-5	amd64
libkeyutils1:amd64	1.6.3-6	amd64
libkrb5-3:amd64	1.21.3-5	amd64
libkrb5-dev:amd64	1.21.3-5	amd64
libkrb5support0:amd64	1.21.3-5	amd64
libksba8:amd64	1.6.7-2+b1	amd64
liblapack3:amd64	3.12.1-6	amd64
liblastlog2-2:amd64	2.41-5	amd64
liblcms2-2:amd64	2.16-2	amd64
liblcms2-dev:amd64	2.16-2	amd64
libldap-dev:amd64	2.6.10+dfsg-1	amd64
libldap2:amd64	2.6.10+dfsg-1	amd64
liblerc-dev:amd64	4.0.0+ds-5	amd64
liblerc4:amd64	4.0.0+ds-5	amd64
liblilv-0-0:amd64	0.24.26-1	amd64
libllvm19:amd64	1:19.1.7-3+b1	amd64
liblqr-1-0:amd64	0.4.2-2.1+b2	amd64
liblqr-1-0-dev:amd64	0.4.2-2.1+b2	amd64
liblsan0:amd64	14.2.0-19	amd64
liblsof0	4.99.4+dfsg-2	amd64
libltdl-dev:amd64	2.5.4-4	amd64
libltdl7:amd64	2.5.4-4	amd64
liblz4-1:amd64	1.10.0-4	amd64
liblzma-dev:amd64	5.8.1-1	amd64
liblzma5:amd64	5.8.1-1	amd64
liblzo2-2:amd64	2.10-3+b1	amd64
libmagic-mgc	1:5.46-5	amd64
libmagic1t64:amd64	1:5.46-5	amd64
libmagickcore-7-arch-config:amd64	8:7.1.1.43+dfsg1-1+deb13u2	amd64
libmagickcore-7-headers	8:7.1.1.43+dfsg1-1+deb13u2	all
libmagickcore-7.q16-10:amd64	8:7.1.1.43+dfsg1-1+deb13u2	amd64
libmagickcore-7.q16-10-extra:amd64	8:7.1.1.43+dfsg1-1+deb13u2	amd64
libmagickcore-7.q16-dev:amd64	8:7.1.1.43+dfsg1-1+deb13u2	amd64
libmagickcore-dev	8:7.1.1.43+dfsg1-1+deb13u2	all
libmagickwand-7-headers	8:7.1.1.43+dfsg1-1+deb13u2	all
libmagickwand-7.q16-10:amd64	8:7.1.1.43+dfsg1-1+deb13u2	amd64
libmagickwand-7.q16-dev:amd64	8:7.1.1.43+dfsg1-1+deb13u2	amd64
libmagickwand-dev	8:7.1.1.43+dfsg1-1+deb13u2	all
libmariadb-dev	1:11.8.3-0+deb13u1	amd64
libmariadb-dev-compat	1:11.8.3-0+deb13u1	amd64
libmariadb3:amd64	1:11.8.3-0+deb13u1	amd64
libmaxminddb-dev:amd64	1.12.2-1	amd64
libmaxminddb0:amd64	1.12.2-1	amd64
libmbedcrypto16:amd64	3.6.4-2	amd64
libmd0:amd64	1.1.0-2+b1	amd64
libmnl0:amd64	1.0.5-3	amd64
libmount-dev:amd64	2.41-5	amd64
libmount1:amd64	2.41-5	amd64
libmp3lame0:amd64	3.100-6+b3	amd64
libmpc3:amd64	1.3.1-1+b3	amd64
libmpfr6:amd64	4.2.2-1	amd64
libmpg123-0t64:amd64	1.32.10-1	amd64
libmysofa1:amd64	1.3.3+dfsg-1	amd64
libncurses-dev:amd64	6.5+20250216-2	amd64
libncurses6:amd64	6.5+20250216-2	amd64
libncursesw6:amd64	6.5+20250216-2	amd64
libnettle8t64:amd64	3.10.1-1	amd64
libnftables1:amd64	1.1.3-1	amd64
libnftnl11:amd64	1.2.9-1	amd64
libnghttp2-14:amd64	1.64.0-1.1	amd64
libnghttp2-dev:amd64	1.64.0-1.1	amd64
libnghttp3-9:amd64	1.8.0-1	amd64
libnghttp3-dev:amd64	1.8.0-1	amd64
libngtcp2-16:amd64	1.11.0-1	amd64
libngtcp2-crypto-gnutls8:amd64	1.11.0-1	amd64
libnorm1t64:amd64	1.5.9+dfsg-3.1+b2	amd64
libnpth0t64:amd64	1.8-3	amd64
libnuma1:amd64	2.0.19-1	amd64
libogg0:amd64	1.3.5-3+b2	amd64
libonig5:amd64	6.9.9-1+b1	amd64
libopenal-data	1:1.24.2-1	all
libopenal1:amd64	1:1.24.2-1	amd64
libopenexr-3-1-30:amd64	3.1.13-2	amd64
libopenexr-dev	3.1.13-2	amd64
libopenjp2-7:amd64	2.5.3-2.1~deb13u1	amd64
libopenjp2-7-dev:amd64	2.5.3-2.1~deb13u1	amd64
libopenmpt0t64:amd64	0.7.13-1+b1	amd64
